タイトル,話の概要,シチュエーション,学べるPM知識／用語
「潜在能力の開花」,メンバーの隠れた才能や可能性を活かしきれないチーム運営。PMの本田がストレングスベースドリーダーシップを実践し、弱みの修正よりも強みの発揮と拡張に焦点を当てたアプローチを採用。個々の潜在能力が最大限に引き出され、チーム全体の創造性と生産性が飛躍的に向上する。,弱みの修正や標準化に焦点が当てられ、個々のユニークな強みや才能が十分に活かされていない状況,ストレングスベースドリーダーシップ
「変化の航海図」,複雑な変革プロジェクトの道筋と進捗が見えない状況。PMの渡辺が変革ロードマップビジュアライゼーションを導入し、複雑な変革の全体像と進捗を視覚的に表現・共有する手法を確立。関係者の理解と参画が促進され、複雑な変革の成功確率が向上する。,複雑な変革プロジェクトの全体像や進捗状況が見えにくく、関係者の理解や積極的な参画が得られない状況,変革ロードマップビジュアライゼーション
「学びあう組織」,個人の問題解決に依存する組織文化。PMの横山がラーニングコミュニティ構想を実施し、経験と知恵を共有し学び合うコミュニティの形成を促進。個人の成長と組織の学習が同時に進むようになり、集合知を活用した問題解決力が向上する。,各自が独自に問題解決し、経験から学んだことが共有されず、組織としての学習や成長が限定的な状況,ラーニングコミュニティ
「脆弱性の共有勇気」,弱みを見せられない文化での信頼関係構築の難しさ。PMの平井が脆弱性ベースドトラスト原則を導入し、完璧を装うのではなく正直に弱みを認め共有できる文化を醸成。深い信頼関係が構築され、心理的安全性と創造性が向上する。,強さや完璧さを装う文化により、本音の共有や助け合いが阻害され、表面的な関係性に留まる状況,脆弱性ベースドトラスト
「アジェンダの魔法」,いつも時間オーバーで結論が出ない会議に悩むPMの石田。効果的なアジェンダ設計と会議ファシリテーション技術を習得し、「目的・議題・時間・期待される成果」を明確にした会議運営を実践。生産性の高い会議文化が形成され、意思決定が迅速化する。,だらだらと長引き、明確な結論に至らない非効率な会議が組織文化となっている状況,効果的なアジェンダ設計
「感情の読み取り」,論理だけでは動かないステークホルダーとの関係構築に苦戦するPMの山村。感情知性（EQ）の向上に取り組み、自己と他者の感情を理解・管理する能力を開発。感情的側面も考慮した関係構築が可能になり、複雑な利害関係の調整に成功する。,論理的に正しい提案をしても感情的な抵抗や政治的な障壁に阻まれるステークホルダーマネジメント,感情知性（EQ）
「通知の嵐を鎮める」,情報過多で本当に重要な連絡が埋もれてしまうプロジェクト。PMの浅野がコミュニケーション階層モデルを導入し、情報の重要度と緊急度に応じた連絡手段と頻度を設計。必要な情報が必要な人に適切なタイミングで届くようになり、情報の質と反応速度が向上する。,電子メール、チャット、会議など様々な手段で情報が溢れ、重要な情報が埋もれる状況,コミュニケーション階層モデル
「見えないバイアスとの闘い」,無意識の偏見により多様な視点を活かせないチーム意思決定。PMの工藤が無意識バイアス研修を実施し、思考の偏りを認識・軽減する手法を導入。より公平で質の高い意思決定が可能になり、多様性がもたらす創造性と革新性が向上する。,性別、年齢、文化的背景などに対する無意識の偏見が意思決定や人材活用に影響する状況,無意識バイアス認識
「拡大する影響範囲」,システム変更の影響範囲を過小評価し、予期せぬ副作用に悩まされるプロジェクト。PMの倉持が影響分析マトリクスを導入し、変更の直接・間接的影響を体系的に評価するプロセスを確立。予期せぬ問題が減少し、安全な変更管理が実現する。,一部の変更が予想外の箇所に連鎖的に影響を及ぼし、新たな問題を引き起こす状況,影響分析マトリクス
「約束のデザイン」,曖昧な契約条件により後々トラブルになるプロジェクト。PMの永井が契約設計ワークショップを実施し、両者にとって公正でリスクが適切に分配された契約フレームワークを開発。紛争が減少し、協力的なパートナーシップに基づくプロジェクト運営が可能になる。,標準契約書や一方に有利な条件設定により、後にトラブルや対立が生じる契約関係,契約設計アプローチ
「メッセージの磨き方」,複雑な情報を関係者に効果的に伝えられないPMの笹川。オーディエンス分析とメッセージクラフティング技術を習得し、相手の関心・知識レベル・優先事項に合わせた情報構成を実践。理解と共感が深まり、プロジェクトへの支援と参画が促進される。,重要な情報や提案が、相手の視点や関心を考慮せずに伝えられ、十分な理解や支援を得られない状況,メッセージクラフティング
「優先順位の科学」,全てが「重要」と言われる要求の優先順位付けに苦戦するPMの藤村。価値vs労力マッピングを導入し、ビジネス価値と実装労力の2軸で要求を分類・評価。限られたリソースで最大の価値を提供する優先順位決定が可能になり、ステークホルダーの納得感も向上する。,全ての要求が「重要」と主張され、限られたリソースの中で何を優先すべきか判断できない状況,価値vs労力マッピング
「仮想チームの結束」,異なる場所・時間帯で働く分散チームの一体感欠如に悩むPMの三沢。バーチャルチームビルディングフレームワークを導入し、遠隔でも信頼と結束を構築する仕組みと実践を確立。物理的距離を超えた強固なチームワークが形成され、協働の質が向上する。,地理的に分散し、異なる時間帯で働くメンバー間で一体感や信頼関係が構築されにくい状況,バーチャルチームビルディング
「意見の対立から創造へ」,意見対立を避ける文化が表面的な合意と本音の不一致を生むプロジェクト。PMの村瀬が建設的対立モデルを導入し、意見の違いを敵対ではなく創造の源として活用するアプローチを実践。多様な視点の衝突から革新的な解決策が生まれる文化が醸成される。,対立や意見の不一致が避けられ、表面的な調和が保たれるが、創造的な摩擦や多様な視点の統合が欠ける状況,建設的対立モデル
「見積もりの進化」,過度に楽観的または悲観的な見積もりに悩まされるプロジェクト。PMの江川が三点見積法と参照クラス予測を組み合わせ、過去の類似実績と確率的思考に基づく見積もり手法を確立。現実的かつバランスの取れた見積もりが可能になり、計画の信頼性が向上する。,主観的で経験則に基づく見積もりにより、常に予定オーバーや過剰なバッファが生じる状況,三点見積法と参照クラス予測
「オンボーディングの設計」,新メンバーの立ち上がりに時間がかかりすぎるプロジェクト。PMの小泉が構造化オンボーディングプログラムを開発し、「知識・関係・文脈・期待」の4要素を計画的に習得できるプロセスを確立。新メンバーの生産性到達が加速され、チーム統合もスムーズになる。,新しいメンバーが加わった際、体系的な導入プロセスがなく、生産性発揮までに長時間を要する状況,構造化オンボーディング
「納得感の心理学」,論理的に正しくても心理的に受け入れられない提案に苦戦するPMの河合。心理的納得モデルを学び、論理だけでなく「公平性・プロセス・尊重・一貫性」の要素を考慮した合意形成を実践。関係者の納得感が向上し、スムーズな意思決定と実行が可能になる。,論理的に正しい決定や提案が、感情的・心理的な理由で抵抗を受けたり実行されなかったりする状況,心理的納得モデル
「発想の連鎖反応」,創造的なアイデアが生まれにくいブレーンストーミングセッション。PMの西野がイノベーショントリガー技法を導入し、思考の枠を意図的に破る質問や刺激を活用。発想の連鎖反応が起き、従来の枠を超えた革新的なアイデアが生まれる環境が整う。,従来の枠内での発想しかできず、真に革新的なアイデアや解決策が生まれない状況,イノベーショントリガー技法
「権限移譲の設計図」,全ての決定がPMに集中して意思決定がボトルネックになるプロジェクト。PMの前田が権限委譲マトリクスを開発し、決定の種類と重要度に応じた権限移譲の枠組みを確立。チームの自律性と意思決定の迅速性が向上し、PMの負担も軽減される。,マイクロマネジメントや過度な中央集権により、PMが全ての決定を行い、チームの自律性が損なわれる状況,権限委譲マトリクス
「学びの循環を作る」,成功と失敗の経験から体系的に学べないプロジェクト文化。PMの野口が学習ループモデルを導入し、「体験→振り返り→概念化→次のアクション」のサイクルを組織プロセスとして確立。継続的な学習と改善が促進され、組織的な成熟度が向上する。,プロジェクトから得られた教訓や学びが体系化されず、次のプロジェクトに活かされない状況,学習ループモデル
「説明責任の共有」,「自分の担当外」という意識でチーム全体の問題に関与しないメンバー。PMの中谷が集合的アカウンタビリティモデルを導入し、個人だけでなくチーム全体としての責任共有の文化を構築。相互支援が活性化し、全体最適な問題解決が促進される。,個々のメンバーが自分の担当範囲にのみ責任を感じ、チーム全体の成功に対する当事者意識が欠ける状況,集合的アカウンタビリティ
「リーダーシップの継承」,プロジェクトリーダーに依存しすぎる組織文化。PMの菊地がリーダーシップ開発パイプラインを構築し、複数レベルでリーダーシップスキルを育成する体系的プログラムを実施。リーダーシップが組織全体に分散され、継続性とレジリエンスが向上する。,特定のリーダーに依存し、そのリーダーの不在時に機能不全に陥ったり、後継者育成がなされなかったりする状況,リーダーシップ開発パイプライン
「可視化の技術」,プロジェクトの現状が関係者に伝わらないことで不安や誤解が生じる状況。PMの今村が情報放射器とビジュアルマネジメントツールを導入し、状況の可視化と定期的更新を徹底。透明性が向上し、関係者の信頼と安心感が醸成される。,プロジェクトの状態が見えにくく、関係者が常に不安を感じたり、余計な問い合わせが増えたりする状況,情報放射器とビジュアルマネジメント
「褒め方の科学」,表面的なフィードバックが行動変容につながらないチーム。PMの兵藤が具体的強化フィードバック技法を学び、「状況・行動・影響・次につなげる提案」の構造で具体的なフィードバックを実践。効果的な行動が強化され、チームの成長スピードが加速する。,抽象的な褒め言葉や批判が多く、具体的に何をどう改善すべきかが伝わらないフィードバック文化,具体的強化フィードバック
「先延ばしとの闘い」,重要だが緊急ではないタスクが先延ばしにされるプロジェクト文化。PMの酒井が行動デザイン理論を応用し、「トリガー・モチベーション・能力」の3要素からなる行動変容フレームワークを導入。先延ばし行動が減少し、重要タスクの計画的実行が促進される。,緊急性の低い重要タスク（品質向上、技術的負債の返済、文書化など）が常に後回しにされる状況,行動デザイン理論
「透明性のパラドックス」,情報共有の方法と範囲に悩むPMの篠原。選択的透明性フレームワークを開発し、情報の種類と関係者に応じた適切な透明性レベルを設計。過剰な情報洪水や必要な透明性の欠如を防ぎ、信頼と効率のバランスが取れた情報共有が実現する。,全ての情報を共有すると混乱や過剰反応を招く一方、透明性が足りないと不信感が生まれるジレンマ,選択的透明性フレームワーク
「時間の使い方」,常に時間不足に悩まされるプロジェクトマネージャー。PMの岡田がタイムブロッキングとエネルギーマネジメントの手法を学び、重要タスクのための集中時間確保と自身のエネルギーレベルに合わせた活動配分を実践。生産性と創造性が向上し、バーンアウトのリスクも低減する。,断片化された時間で常に対応に追われ、重要な思考や創造的な活動に集中できない状況,タイムブロッキングとエネルギーマネジメント
「多様性の力を引き出す」,表面的な多様性にとどまり真の多様性の力を活かせないチーム。PMの白石がインクルーシブリーダーシップを実践し、多様な視点が安心して表明され尊重される環境を構築。革新的なアイデアと包括的な問題解決が促進され、チームパフォーマンスが向上する。,多様なバックグラウンドのメンバーがいても、実質的に同質的な考え方や特定の声だけが優勢になる状況,インクルーシブリーダーシップ
「質問の力」,解決策を与えることに慣れすぎて、チームの思考力と自律性が育たない状況。PMの北村がコーチング質問技術を習得し、答えを与えるのではなく強力な質問で気づきを促すアプローチを採用。チームの問題解決能力と当事者意識が向上し、自律的な成長サイクルが確立される。,問題が発生するとPMが解決策を提示し、チームが考える機会や主体性を育む機会が失われる状況,コーチング質問技術
「本音の対話」,表面的なコミュニケーションにとどまり本質的な課題に踏み込めないチーム。PMの長谷川がディープダイアログ手法を導入し、本音と異なる視点を安全に共有できる対話の場を創出。相互理解が深まり、複雑な問題の根本的解決につながる洞察が生まれる。,政治的配慮や対立回避のために本音が語られず、表面的な合意と潜在的な不一致が併存する状況,ディープダイアログ手法
「メンタルモデルの転換」,固定的な思考パターンに囚われて革新ができないプロジェクト組織。PMの安藤がメンタルモデルシフトワークショップを実施し、根底にある前提や思考枠組みを意識化・転換するプロセスを導入。新たな視点と可能性が開かれ、革新的なアプローチが可能になる。,「いつもこうやってきた」「それは不可能だ」といった固定観念に縛られ、新しい可能性や解決策が見出せない状況,メンタルモデルシフト
「混沌からの脱出」,複雑すぎて全体像が把握できないプロジェクト。PMの松原が複雑性マッピング手法を導入し、複雑な要素間の関係性とパターンを視覚化するアプローチを確立。複雑さが管理可能になり、効果的な介入ポイントが特定できるようになる。,多数の相互依存する要素や関係者が絡み合い、どこから手をつけるべきか全体像が把握できない混沌とした状況,複雑性マッピング
「意思決定の分散と統合」,トップダウンと現場判断のバランスに苦心するプロジェクト組織。PMの田島が分散型意思決定フレームワークを開発し、判断の種類と影響範囲に応じた意思決定権の適切な配分を設計。迅速な現場判断と一貫した方向性が両立し、組織の適応力と一体性が向上する。,中央集権すぎると現場の機動力が失われ、分散しすぎると方向性が定まらないというジレンマに直面する状況,分散型意思決定フレームワーク
「創造的緊張の活用」,現状と理想のギャップがプレッシャーではなく創造性を生む環境。PMの岩間がクリエイティブテンション理論を学び、理想と現実の間の「緊張感」を創造的エネルギーに変換するアプローチを実践。前向きな挑戦意欲が醸成され、革新的なソリューションが生まれる文化が形成される。,高い目標や理想と現実のギャップがプレッシャーやストレスになり、創造性や挑戦意欲を阻害する状況,クリエイティブテンション理論
「承認の力」,チームの貢献や成長が十分に認められず、モチベーション低下に悩むプロジェクト。PMの山根が承認実践プログラムを導入し、日常的な承認と感謝の表現を組織文化として定着させる。メンバーの帰属意識と内発的動機が高まり、自発的な貢献と成長が促進される。,成果や努力に対する適切な承認や感謝の表現が少なく、メンバーが自分の貢献を評価されていないと感じる状況,承認実践プログラム
「距離を超える信頼構築」,対面の機会が限られたリモートチームでの信頼関係構築に苦戦するPMの古川。遠隔信頼構築フレームワークを開発し、意図的な関係構築活動と信頼醸成のプラクティスを導入。物理的距離を超えた強固な信頼関係が形成され、効果的な協働が実現する。,直接の対面機会が限られたリモート環境で、チームメンバー間の信頼関係や一体感の構築が難しい状況,遠隔信頼構築フレームワーク
「緊急事態への備え」,予期せぬ危機に対応する準備が不足しているプロジェクト。PMの中原が緊急時対応プランを作成し、シナリオベースの準備と意思決定プロセスを事前に設計。危機発生時にも冷静かつ効果的に対応できる体制が整い、被害の最小化と迅速な回復が可能になる。,災害や重大インシデントなどの危機的状況に対する準備がなく、発生時に混乱や対応遅延が生じる状況,緊急時対応プラン
「説得の三要素」,論理的に正しい提案が受け入れられずに苦戦するPMの溝口。アリストテレスレトリック（エトス・パトス・ロゴス）を学び、信頼性・感情・論理の三要素を活用した説得コミュニケーションを実践。提案の採用率が高まり、ステークホルダーからの支援が拡大する。,論理的に正しい提案や計画が、説得力不足によって採用されなかったり十分な支援を得られなかったりする状況,アリストテレスレトリック
「脳の仕組みを味方に」,認知特性を考慮しないプロセスや情報設計による非効率な協働。PMの永田が認知科学応用ワークショップを実施し、記憶・注意・判断などの認知特性に基づいた会議やコミュニケーション設計を導入。情報処理の効率が向上し、認知負荷が軽減された生産的な協働が実現する。,人間の認知特性（記憶の限界、注意の分散、判断バイアスなど）を考慮せず、非効率な情報処理や判断を強いる状況,認知科学応用設計
「関係資産の構築」,短期的な成果に集中するあまり関係構築に投資しないプロジェクト風土。PMの広瀬が関係資本投資戦略を導入し、信頼と協力関係の構築に意図的に時間と労力を投資。強固な関係資本が形成され、困難な状況でも支え合い乗り越えるレジリエンスが向上する。,短期的な目に見える成果だけを優先し、関係構築や信頼醸成などの「目に見えない資産」への投資が後回しにされる状況,関係資本投資戦略
「心理的契約の管理」,明文化されない期待のすれ違いがもたらす関係悪化。PMの金子が心理的契約マネジメントモデルを導入し、暗黙の期待や約束を可視化して定期的に調整するプロセスを確立。誤解が減少し、相互期待の一致に基づく健全な関係が構築される。,明文化されない相互期待や暗黙の了解のずれにより、「期待外れ」と感じる状況が生まれ関係が悪化する状況,心理的契約マネジメント
「成長マインドセットの醸成」,失敗を恐れて挑戦しない組織文化。PMの原田が成長マインドセット育成プログラムを実施し、「能力は固定的」という考えから「努力で成長できる」という考えへの転換を促進。積極的な挑戦と学習が奨励され、イノベーションと継続的成長の文化が根付く。,失敗やミスを避けることに焦点が当てられ、新しいことへの挑戦や学びのための冒険が抑制される状況,成長マインドセット
「プロジェクトの政治学」,組織の力学と政治的な側面の扱いに苦戦するPMの西岡。組織政治ナビゲーションスキルを開発し、公式・非公式の力関係や利害関係の地図を作成して戦略的に対応。組織の現実を理解した上での効果的な影響力行使が可能になり、プロジェクトの成功確率が向上する。,技術的・論理的に正しいアプローチだけでは対応できない組織内の力学や政治的側面に直面する状況,組織政治ナビゲーション
「文化的知性の開発」,多国籍・多文化チームでのコミュニケーション摩擦に悩むプロジェクト。PMの村山が文化的知性（CQ）開発プログラムを導入し、異文化への理解・適応・効果的な行動能力を向上。文化の違いを尊重し活かした協働が実現し、グローバルチームの潜在力が最大限に発揮される。,異なる文化的背景を持つメンバー間でコミュニケーションスタイルや価値観の違いから誤解や摩擦が生じる状況,文化的知性（CQ）
「持続可能なペース設定」,短期的成果を追求するあまり燃え尽きるチーム。PMの林が持続可能パフォーマンスモデルを導入し、短期集中と回復のリズムを意識的にデザイン。持続可能なペースが確立され、長期的な高パフォーマンスとメンバーの健康が両立する。,締切やプレッシャーにより常に全力疾走が求められ、チームの疲弊やバーンアウトを招く状況,持続可能パフォーマンスモデル
「変革のストーリーテリング」,変革の必要性を納得感を持って伝えられないプロジェクト。PMの宮田が変革ナラティブ構築法を学び、データと感情に訴える物語を通して変革の理由と方向性を表現。共感と理解が生まれ、変革への抵抗が減少し、積極的な参画が促進される。,変革の論理的必要性を伝えても感情的な共感や納得が得られず、変革への抵抗や消極的な反応に直面する状況,変革ナラティブ構築法
「衝突からの学び」,チーム内の対立や意見の不一致を生産的に活用できずに苦戦するPMの杉山。対立変容アプローチを学び、対立を問題ではなく成長と創造の機会として捉え対応する方法を習得。対立から学びと革新が生まれる文化が形成され、より深い相互理解と創造性が促進される。,チーム内の対立や意見の不一致が非生産的な摩擦や感情的な溝を生み、効果的に解決や変容ができない状況,対立変容アプローチ
「疲労の科学的管理」,長時間労働と過剰ストレスによるパフォーマンス低下に悩むプロジェクト。PMの萩原が認知負荷管理と回復戦略を導入し、科学的知見に基づく疲労対策と最適パフォーマンス維持の方法を実践。持続可能な高パフォーマンスが可能になり、創造性と判断力が向上する。,長時間労働や高ストレス環境による認知機能の低下や判断力の衰えが、気づかないうちにパフォーマンスを損なう状況,認知負荷管理と回復戦略
「ありがとうの連鎖」,成果や貢献に対する感謝表現が不足し、不満やモチベーション低下を招くプロジェクト。PMの石原が感謝実践文化を導入し、日常的な感謝の表現とその効果的な伝え方を組織文化として定着。相互の貢献認識と肯定的な雰囲気が醸成され、協力と創意工夫が促進される。,チームメンバーの努力や貢献に対する感謝や認識が表現されず、自分の価値が認められていないと感じる状況,感謝実践文化
「影響力の地図」,複雑な組織構造の中で意思決定者や影響力者を特定できずに苦戦するPMの菊池。影響力マッピング技法を習得し、公式・非公式の力関係と意思決定プロセスを可視化。キーパーソンとの効果的な関係構築が可能になり、組織ナビゲーション能力が向上する。,複雑な組織構造や非公式なネットワークの中で、誰が実質的な意思決定者や影響力者なのかを特定できない状況,影響力マッピング
「心理的安全性の醸成」,リスクを取らず率直に意見を言わないチーム文化。PMの岡本が心理的安全性構築プログラムを実施し、失敗を学びの機会と捉え、率直な意見交換を奨励する環境を整備。創造的な挑戦と正直なコミュニケーションが活性化し、イノベーションと問題解決力が向上する。,失敗やミスへの懸念から意見や懸念を表明できず、問題が隠れたままになったり、革新的なアイデアが提案されない状況,心理的安全性構築
「弱さを強みに変える」,完璧を装い弱みを隠す文化がチームの信頼と学びを阻害するプロジェクト。PMの三好が脆弱性ベース・リーダーシップを実践し、自らの弱みや失敗を適切に開示し学びを共有するアプローチを採用。互いの人間性が理解され、より深い信頼関係と学びの文化が形成される。,弱みや失敗を隠し完璧を装う文化により、表面的な関係性しか構築されず、本音でのフィードバックや学びが阻害される状況,脆弱性ベース・リーダーシップ
「影響力の伝播」,階層構造に縛られ中間層のリーダーシップが発揮されないプロジェクト組織。PMの高山が社会的影響力モデルを導入し、公式的権限に依存しない影響力行使の方法を開発。組織のあらゆるレベルでリーダーシップが発揮され、変革の推進力が高まる。,公式的な権限がなければリーダーシップを発揮できず、変革や改善の取り組みが一部のマネージャーに依存する状況,社会的影響力モデル
「先入観を外す」,固定観念や思い込みにより創造的思考が制限されるプロジェクト。PMの岩崎が思考の枠組み崩しワークショップを実施し、既存の前提や思考パターンを意識的に崩す技術を導入。新たな視点と可能性が開かれ、革新的なソリューションの創出確率が向上する。,「それは無理だ」「いつもこうしてきた」といった固定観念や思い込みにより、可能性や選択肢が初めから限定される状況,思考の枠組み崩し
「ストーリーで伝える数字」,データや分析結果を効果的に伝えられず意思決定に活かせないプロジェクト。PMの井上がデータストーリーテリング技法を習得し、データを文脈と意味のある物語に変換して伝える技術を開発。データの持つ洞察が理解・記憶され、情報に基づく意思決定が促進される。,重要なデータや分析結果が伝わりにくく、数字の羅列や複雑なグラフに埋もれて本質的な洞察が活かされない状況,データストーリーテリング
「アイデアの民主化」,一部の声の大きいメンバーや地位の高い人のアイデアばかりが採用されるプロジェクト文化。PMの松下がアイデア民主化プロセスを導入し、全員の創造的貢献を平等に引き出し評価する仕組みを構築。多様な視点からの発想が活かされ、革新的なソリューションの質が向上する。,特定の人の意見やアイデアが優先され、多様な視点や創造的貢献が十分に活かされない状況,アイデア民主化プロセス
「感情の旅の設計」,変革プロジェクトにおける感情的抵抗の波に翻弄されるチーム。PMの西川が変化カーブマッピングを導入し、変革の各段階で生じる典型的な感情とその対応策を予測・計画。感情面のサポートが充実し、変革の実現性と持続性が高まる。,変革に伴う否定・抵抗・探索・受容などの感情的変化に対する理解と準備が不足し、感情的な理由で変革が頓挫する状況,変化カーブマッピング
「断り方の技術」,断れない性格や文化により過剰な負担を抱え込むPMの佐野。アサーティブコミュニケーション技術を習得し、相手も自分も尊重する形でNoと言える能力を開発。適切な境界設定が可能になり、持続可能なパフォーマンスとより健全な関係性が構築される。,断ることへの罪悪感や相手との関係悪化を恐れ、キャパシティを超えた仕事を引き受けてしまう状況,アサーティブコミュニケーション
「協働の環境設計」,物理的・心理的・技術的な環境が効果的な協働を阻害するプロジェクト。PMの平田が協働環境デザインを実施し、チームの作業スタイルと目標に合わせた最適な環境を意図的に構築。コラボレーションの質と量が向上し、集合知が最大限に活用される。,オフィスレイアウト、会議設計、コミュニケーションツールなどの環境要因が、効果的な協働や創造的な対話を阻害している状況,協働環境デザイン
「プロジェクトの周波数」,チームの波長が合わず、エネルギーやモメンタムが維持できないプロジェクト。PMの野崎がチームリズム設計を導入し、集中作業・協働・振り返り・回復のリズミカルなサイクルを確立。自然なフローが生まれ、持続的なエネルギーと創造性のある環境が実現する。,チームの活動リズムが不規則で、エネルギーの浪費や集中力の分散、協働タイミングのずれなどが生じる状況,チームリズム設計
「期待のデザイン」,「言った/言わない」の認識齟齬から生じる期待ギャップに苦しむプロジェクト。PMの小松が期待設計ワークショップを導入し、明示的・暗黙的な期待を体系的に明確化し合意するプロセスを確立。誤解が減少し、期待に関する対話が日常化され、関係の摩擦が軽減される。,互いの期待が明確に伝えられず、「当然そうするものだと思っていた」という前提の違いからトラブルが発生する状況,期待設計ワークショップ
「信頼の経済学」,低信頼環境による過剰な確認や防衛的行動がプロジェクト効率を低下させる状況。PMの川田が信頼構築サイクルを導入し、信頼の構築・維持・修復の体系的アプローチを確立。信頼に基づく効率的な協働が実現し、取引コストと摩擦が大幅に減少する。,信頼の欠如により過剰な確認や文書化、防衛的行動などが必要となり、協働の効率と創造性が低下する状況,信頼構築サイクル
「雑談の戦略的活用」,過度に任務志向的な文化で人間関係が希薄化するプロジェクト。PMの河原が戦略的雑談アプローチを導入し、意図的な非公式コミュニケーションの機会を創出。人間関係の絆が強化され、信頼と心理的安全性が向上し、本質的な対話が活性化する。,効率や成果だけを重視するあまり、人間関係構築や非公式コミュニケーションの時間が不足している状況,戦略的雑談アプローチ
「意図的な文化形成」,望ましくない行動や価値観が定着してしまったプロジェクト文化。PMの中田が文化設計フレームワークを活用し、「行動→結果→ストーリー→信念→次の行動」のサイクルに意図的に介入。目指すべき価値観と行動が強化され、健全で成果を生む文化が醸成される。,プロジェクト文化が自然発生的に形成され、望ましくない行動パターンや価値観が定着してしまっている状況,文化設計フレームワーク
「承認欲求の活用」,チームメンバーの内発的動機やコミットメントを引き出せないプロジェクト。PMの藤木が承認ベース動機付けモデルを導入し、メンバーの存在や貢献を多角的に認め可視化するシステムを構築。内発的動機が高まり、自発的な貢献と創意工夫が活性化する。,外的な報酬や罰則に依存したモチベーション管理により、本質的な熱意や創造性が引き出せていない状況,承認ベース動機付けモデル
「質問のアーキテクチャ」,表面的な質問と回答に終始し本質的な理解に至らないプロジェクトコミュニケーション。PMの宮本が質問設計フレームワークを習得し、思考や対話を深める戦略的な質問の構成と順序を設計。より深い洞察と創造的な思考が促進され、問題解決の質が向上する。,質問が表面的で深い思考を促さず、会話が事実確認や単純な情報交換にとどまり、本質的な理解や創造性が引き出されない状況,質問設計フレームワーク
「スコープの調理法」,あいまいで膨張し続けるプロジェクトスコープに悩まされるPMの坂本。スコープクッキング技法を習得し、「スコープの材料集め→下処理→調理→盛り付け→味見」の料理に例えたアプローチを実践。明確で管理可能なスコープが確立され、期待値と現実のギャップが減少する。,プロジェクトスコープが曖昧なまま進行し、解釈の違いや際限ない追加要求によって混乱や遅延が生じる状況,スコープクッキング技法
「戦略的な無知の活用」,「すでに知っている」という思い込みが新たな学びや可能性を阻害するプロジェクト。PMの福島が戦略的無知アプローチを導入し、意図的に「知らない」という姿勢で傾聴と質問を行う実践を促進。固定観念から解放され、新たな視点と可能性が開かれる環境が整う。,経験や知識があるという思い込みにより、先入観で物事を捉え、新たな視点や可能性を見逃してしまう状況,戦略的無知アプローチ
「パラドックスの活用」,一見矛盾する要求や価値観の間で立ち往生するプロジェクト。PMの西村がパラドックス思考法を習得し、「AかBか」ではなく「AもBも」の統合的視点で創造的解決を模索。従来の二項対立を超えた革新的なアプローチが可能になり、複雑な問題の解決力が向上する。,効率vs品質、短期vs長期、集権vs分権など、一見相反する価値や要求の間で板挟みになり、どちらかを犠牲にする決断を強いられる状況,パラドックス思考法
「実験文化の醸成」,完璧主義と失敗への恐れが新たな試みを阻害するプロジェクト環境。PMの江口が実験マインドセット育成プログラムを実施し、小さな実験と素早い学習のサイクルを奨励する文化を構築。イノベーションと継続的改善が促進され、適応力と創造性が向上する。,完璧な準備と確実性を求めるあまり、新しい試みやアプローチを実験的に試す文化が育たない状況,実験マインドセット
「暗黙知の可視化」,経験豊富なメンバーの頭の中にある知識が共有されないプロジェクト。PMの横井が暗黙知抽出ワークショップを導入し、経験や直感から生まれる判断や知恵を形式知化するプロセスを確立。重要なノウハウが組織資産として共有・活用され、チーム全体の能力が向上する。,経験豊富なメンバーが持つコツやノウハウが形式化されず、属人的な知識として閉じてしまい、チーム全体で活用できない状況,暗黙知抽出ワークショップ
「価値の再定義」,機能の実装完了を成功と捉え、真の価値創出を見失うプロジェクト。PMの大森が価値実現フレームワークを導入し、「何をどう作るか」から「どんな成果と変化を生むか」へと成功定義を転換。真の目的に焦点を当てた意思決定が可能になり、ビジネス価値の実現確率が高まる。,機能実装や予算・スケジュール達成だけを成功と見なし、本来創出すべき事業価値や顧客価値が二の次になっている状況,価値実現フレームワーク
「創造の前提条件」,活発なアイデア創出が起きない会議やワークショップ。PMの志村が創造環境デザイン手法を学び、創造性を最大化する物理的・心理的・プロセス的条件を意図的に設計。自由な発想と建設的な発展が促進され、革新的なアイデアが生まれやすい環境が実現する。,環境要因や進行方法により、自由な発想や創造的な対話が阻害され、既存の枠内での考えしか出てこない状況,創造環境デザイン
「自己組織化の条件」,詳細な指示がないと機能しない依存的なチーム。PMの上野が自己組織化促進システムを導入し、明確な境界条件と自由度のバランスがとれた環境設計を実施。チームの自律性と創造性が高まり、外部からの詳細管理なしでも高いパフォーマンスを発揮するようになる。,チームが指示待ちで受動的、または明確な方向性なく各自がバラバラに行動し、本来の自己組織化能力が発揮されない状況,自己組織化促進システム
「役割期待の明確化」,「誰が何をするべきか」があいまいなまま進むプロジェクト。PMの富田がロール・エクスペクテーション・マッピングを実施し、各ポジションに対する期待と責任を明確化・共有するプロセスを確立。役割の曖昧さが解消され、期待ギャップによる摩擦が減少する。,役割や責任の定義があいまいなため、必要なタスクが抜け落ちたり、逆に重複して行われたり、期待違いで摩擦が生じる状況,ロール・エクスペクテーション・マッピング
